company,class,prem_liab_begin,prem_liab_end,prem_write_net
c005,health,130000,13,-8887
c006,mahl,8422,16412,-134662
c006,cpr,26328,25680,-498713
c007,motor,1337520,150,-56661
c007,bonds,432020,0,-11300
c007,mac,6407,8332,-10665
c007,mac,8332,23123,-8426
c008,pa,61303,9557,-16519
c009,health,6546,598,-644
c009,cnstr_engr,7200497,6330000,-129405
c009,mahl,5250,4843,-2977
c009,cpr,142000,41144,-6752
c010,cpr,699078,0,-640933
c011,wic,613145,240764,-63692
c011,health,96537142,0,-80682996
c012,mac,0,240,-162
c012,prof_indm,551,0,-57717
c013,fire,43467,8895,-8803
c014,mac,3,0,-222
c014,mahl,21,0,-676
c015,fire,3947210,818970,-3936234
c015,pa,131100,0,-14547
c015,health,25578,14222,-249535
c015,motor,2669504,276734,-536717
c015,health,13676,0,-79945
c015,cnstr_engr,903001,673601,-11941
c015,pub_lia,14990,4240,-24094
c016,others,20458,46499,-22532
c016,others,46499,14168,-19836
c016,mahl,238271,0,-158364
c016,motor,78110,5486,-4027
c016,motor,0,9150,-61069
c016,wic,57093,-44218,45795
c016,wic,8100,1564,-9833
c016,cnstr_engr,28278,15918,-8659
c023,mac,1643619,0,-286885
c023,mahl,107749,0,-76445
c023,fire,7099904,0,-4745227
c023,motor,6625305,0,-4018069
c023,wic,5873053,0,-3775898
c023,pa,4936498,0,-2913802
c023,health,4479006,0,-2924247
c023,pub_lia,1631352,0,-953705
c023,bonds,356635,0,-169183
c023,cnstr_engr,2301587,0,-1807565
c023,prof_indm,15211,0,-8733
c023,others,1189174,0,-651253
c024,cnstr_engr,634669,544486,-108535
c024,fire,547293,276477,-164024
c024,wic,51502,36346,-9420
c024,wic,37516,28500,-4
c024,cnstr_engr,795598,571696,-51229
c024,prof_indm,9211,0,-2422
c024,wic,29445,-16784,3568
c024,prof_indm,0,-1,35227
c027,cpr,2616583,1813881,-327256
c027,cpr,1839980,874935,-182985
c028,cnstr_engr,279466,75972,-540069
c028,cnstr_engr,75972,36626,-33958
c029,mac,35371,11575,-44961
c029,fire,383860,131784,-161941
c029,bonds,223658,81805,-382396
c031,mac,1454,0,-155037
c031,mahl,137762,0,-3672700
c031,motor,103885,0,-1576225
c031,wic,3718,0,-465978
c031,others,36791,0,-1682315
c032,health,1723,0,-4749
c032,mac,16602,2048,-3506
c032,mahl,6780,0,-6104
c032,cnstr_engr,116525,105716,-38882
c032,prof_indm,116583,18938,-3048
c038,health,28051934,19921844,-5607114
c038,others,823142,708471,-133973
c038,health,19921844,15541336,-226674
c038,health,16338040,8356350,-2724562
c038,mahl,14345,0,-1831
c038,motor,7206,6819,-2501
c038,others,27270,81556,-232339
c038,bonds,226225,223628,-144896
c038,cnstr_engr,1058604,882206,-1641106
c038,bonds,171506,125544,-111848
c040,bonds,1696771,897046,-31620
c040,bonds,897046,404867,-12532
c041,mac,113,0,-2
c041,fire,20,15,-3963
c041,wic,162965,30749,-10542
c041,pub_lia,14887,0,-14416
c041,cnstr_engr,26768,32,-71408
c041,fire,15,12,-3993
c041,wic,30749,14242,-10984
c041,cnstr_engr,32,2331,-71410
c041,cnstr_engr,2331,0,-2211
c043,fire,14666,15,-6280
c044,cnstr_engr,145000,50000,-85246
c045,pub_lia,-2,-37,155825
c046,prof_indm,44810,6664,-121844
c048,prof_indm,689,-160,7988
c049,mac,151660,102119,-449608
c053,cpr,6945004,4713487,-319683
c054,pa,1000,1000,-5987
c056,cpr,2045302,1019539,-148708
c060,health,7685117,0,-441732
c066,others,743111,-68910,1115615
c067,mac,10431,0,-116
c067,mahl,49,0,-65
c067,cnstr_engr,605103,408362,-8075
c068,mahl,229224,0,-78845
c070,cnstr_engr,87846,73940,-3777
c070,fire,352011,251458,-226287
c076,fire,455169,526534,-253870
