year,company,auwgr,lkpp,hlr_lag1,hlr_lag2,hlr_lag3,hlr_lag4,hlr_lag5,mer,der,oer,prem_write_net_lag1,claim_set_net_lag1,exp_management_lag1,exp_comm_incur_net_lag1,exp_other_lag1,prem_liab_diff_lag1,claim_liab_diff_lag1,uw_gain_lag1,class_bonds,class_cnstr_engr,class_cpr,class_fire,class_health,class_mac,class_mahl,class_motor,class_others,class_pa,class_prof_indm,class_pub_lia,class_wic
2005,c166,-0.516202331431207,1.187749981183876,-5.283150671199344,-5.2748692375416075,-5.3229341912948644,-5.2964303965565875,-5.285397739144314,-0.2877317219481475,0.008093349384903189,-0.007658879245514202,3473036.769230769,-3058658.6153846155,-951717.0,26770.0,-25332.923076923078,-64900.0,199511.6153846141,-401290.1538461539,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,c166,0.46783856265491147,0.8249168883923933,-7.494599626293284,-5.2748692375416075,-5.3229341912948644,-5.2964303965565875,-5.285397739144314,-0.33408486750497257,0.028418124803384976,-0.013490203401768942,1595758.0,-2219848.0,-507732.0,43189.0,-20502.0,590765.0,-305364.0,-823734.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,c166,0.07252540370840689,3.4191542512085977,-8.095640617783225,-6.846169002989212,-5.3229341912948644,-5.296430396556587,-5.285397739144314,-0.3282950157335184,0.08941631800629342,-0.012797324951467877,1712268.0,-1003584.0,-535361.0,145814.0,-20869.0,68265.0,434532.0,801065.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,c166,-0.3318543335386077,1.497069544735213,-8.015990901792359,-7.534161274468947,-6.638000926332542,-5.296430396556587,-5.285397739144314,-0.3280353683244374,0.06662929229453439,-0.011072027368470459,1917535.0,-1204595.0,-599066.0,121680.0,-20220.0,-564773.0,488509.0,139070.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,c166,-0.008866774857623706,0.9002988585502556,-7.292007717953496,-7.660231643374386,-7.307940536970644,-6.503707377398158,-5.285397739144314,-0.302201266610718,0.07928502644551294,-0.009251424013115414,2408159.0,-1478125.0,-693094.0,181839.0,-21218.0,-1366957.0,170238.0,-799158.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,c166,-0.005778137672827604,1.257365048505168,-6.822411155334773,-7.133639847145984,-7.497236132547529,-7.166538089488061,-6.458555710279861,-0.2604192963079836,0.045058378037235725,-0.008869517197854213,2661960.0,-1612829.0,-660215.0,114232.0,-22486.0,522000.0,-1026265.0,-23603.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,c166,-0.2222867143219075,1.3768418769892143,-5.35930850092289,-6.748938513602305,-7.056984003361621,-7.390980974356789,-7.118191877102473,-0.26361510459758725,-0.023253518164559953,-0.0065836164572923685,4317308.0,-2354012.0,-1083912.0,-95612.0,-27070.0,-1033000.0,251352.0,-24946.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,c166,-0.35852141865895004,1.031486924455764,-4.483882684393992,-5.356996128816661,-6.712945464909257,-7.001982994963144,-7.353760558002455,-0.2509346250996881,-0.008304170486945909,-0.006214304646766303,5127243.0,-3480307.0,-1225336.0,-40550.0,-30345.0,-1532000.0,41577.0,-1139718.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,c166,-0.8665058391088158,0.8919512924356501,-4.28120936334789,-4.493850450716036,-5.359262752724346,-6.684711547922103,-6.982153162778632,-0.25004881797720485,0.006405119732031358,-0.00560946593376723,4922367.0,-2612722.0,-1172221.0,30027.0,-26297.0,-411000.0,-2494928.0,-1764774.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,c166,0.004422681227982271,0.6263821365008839,-4.419540677221249,-4.288722739415784,-4.502015836501033,-5.356784306981143,-6.674306485645905,-0.26524832895363737,-0.011925162522780947,-0.006364624806887156,5259878.0,-3487234.0,-1328737.0,-59738.0,-31883.0,-1025000.0,-3885001.0,-4557715.0,0,0,0,0,0,0,0,0,0,0,0,0,1
